crop,wavg_price,wavg_price_y1,wavg_price_y2,price_cv_y1,price_cv_y2,total_volume,trade_days,is_blanched,avg_daily_volume,availability,price_spread_ratio
SX4 芽菜類 苜蓿芽,70.78876651852026,68.74739419564607,72.40767614601019,0.1743324913020234,0.18540741073783715,168977,595,False,283.9949579831933,1.0,0.010295565555791173
LV1 巴西利,125.00234951652014,115.67576585507386,133.9777011226805,0.9469867058265959,0.9441383703347813,168673,595,False,283.4840336134454,1.0,0.5143687185725927
OE2 醃瓜 漬 漬,37.71080791037554,38.10565322547864,37.09212763924715,0.13331034804607672,0.1194149038554831,161206,573,False,281.3368237347295,0.9630252100840336,0.061147757239945075
OD1 蘿蔔乾,33.15553540752052,33.08131286808777,33.226367163214036,0.04855716171283507,0.08576261025959298,157170,595,False,264.1512605042017,1.0,0.051200067242729116
LI7 萵苣菜 紅捲綠捲,106.77178265203071,101.73420379854709,124.87514251061249,0.8283283810567856,0.6886441355765563,151499,443,False,341.9841986455982,0.7445378151260504,0.8392724004937783
FV94 辣椒 進口 朝天椒,61.522216811406004,,61.522216811406004,,0.4549976726961134,147852,140,False,1056.0857142857142,0.23529411764705882,0.23633303949408505
SP4 薑 竹薑,38.11236915689461,27.969112326170137,55.62414832258966,0.48477927074737087,0.3488221204059132,136614,475,False,287.60842105263157,0.7983193277310925,0.2863557364310282
LT2 海菜 海帶,54.12834250161793,54.76007084385068,53.42350277738879,0.17107780017205612,0.20728558429405347,135976,595,False,228.5310924369748,1.0,0.07230566301542522
FM1 菜豆 白色,39.59073667022546,46.91780580744742,36.05477770018622,0.4758619834227469,0.5036949879856095,127384,401,False,317.66583541147133,0.6739495798319328,0.4171625166000535
SG9 大蒜 進口,207.2919484279431,220.9230965645311,181.86205128205128,0.3771202715662952,0.34063322085301445,125727,289,False,435.0415224913495,0.4857142857142857,0.14792880089158184
LI96 萵苣菜 進口 蘿美,103.09684171042758,,103.09684171042758,,0.43214458245957843,119970,114,False,1052.3684210526317,0.1915966386554622,0.4052257913711437
FP2 萊豆 豆仁,106.50974381043999,114.1741810274752,101.06728332708015,0.4363832529647975,0.4081731444290539,118506,304,False,389.82236842105266,0.5109243697478991,0.4319144909813464
SM1 牛蒡,38.21349532138395,38.62450474246608,37.98833171091057,0.2983584415828763,0.292096750958428,117663,523,False,224.97705544933078,0.8789915966386554,0.14080774921444042
LZ2 藤川七 川七葉,92.35211675926406,93.92193498668908,90.8188733791782,0.5783913676034521,0.7725147650031194,115554,593,False,194.86340640809445,0.9966386554621849,0.3407967025888501
FL1 豌豆 白花,71.44591073454339,76.39453666336709,67.13477943615257,0.6335903854873534,0.5065521638151497,112832,299,False,377.3645484949833,0.5025210084033613,0.5486513830513003
FN4 敏豆 翼豆,40.012104565258575,44.7263196546199,36.79868938003428,0.8136048055174664,0.8175088749858044,110859,501,False,221.2754491017964,0.8420168067226891,0.2441028322059233
FK94 甜椒 進口 彩色種,59.9820683794208,,59.9820683794208,,0.4656408083787671,107079,166,False,645.0542168674699,0.27899159663865547,0.2491548191843324
SU3 薯蕷 樹薯,26.928408819397323,25.048526400000004,29.717022286568717,0.3736073649750961,0.35044757661222553,104633,445,False,235.13033707865168,0.7478991596638656,0.23768586937229066
MF1 蠔菇 鮑魚菇,50.06615926543914,55.31113187339061,46.138426621160406,0.3830849725442658,0.6277163515437378,102483,592,False,173.11317567567568,0.9949579831932773,0.2649215641691415
FT72 南瓜 栗子 小黑,43.05819630847629,,43.05819630847629,,0.4261459226993351,101259,158,False,640.879746835443,0.26554621848739496,0.5423999703382629
FJ2 番茄 粉柿,29.13768889805175,29.6712701094542,28.749749870929843,0.4399364610118055,0.3848351686284912,97010,207,False,468.6473429951691,0.34789915966386553,0.15242308170745483
FS1 越瓜 青色,11.10104138120033,10.855935942731072,11.629603752869548,0.5563087912731712,0.6555011422700424,94874,246,False,385.6666666666667,0.4134453781512605,0.37815364236759735
